ticker,name,sector,industry_big,market
202A.T,豆蔵,情報・通信業,情報通信・サービスその他,Growth
2053.T,中部飼料,食料品,食品,Prime
2055.T,日和産業,食料品,食品,Standard
205A.T,ロゴスホールディングス,建設業,建設・資材,Growth
2060.T,フィード・ワン,食料品,食品,Prime
206A.T,ＰＲＩＳＭ　ＢｉｏＬａｂ,医薬品,医薬品,Growth
208A.T,構造計画研究所ホールディングス,情報・通信業,情報通信・サービスその他,Standard
2108.T,日本甜菜製糖,食料品,食品,Prime
2109.T,ＤＭ三井製糖,食料品,食品,Prime
2112.T,塩水港精糖,食料品,食品,Standard
2114.T,フジ日本,食料品,食品,Standard
2117.T,ウェルネオシュガー,食料品,食品,Prime
211A.T,カドス・コーポレーション,建設業,建設・資材,Standard
2120.T,ＬＩＦＵＬＬ,サービス業,情報通信・サービスその他,Prime
2121.T,ＭＩＸＩ,情報・通信業,情報通信・サービスその他,Prime
2122.T,インタースペース,サービス業,情報通信・サービスその他,Standard
2124.T,ジェイエイシーリクルートメント,サービス業,情報通信・サービスその他,Prime
2127.T,日本Ｍ＆Ａセンターホールディングス,サービス業,情報通信・サービスその他,Prime
212A.T,フィットイージー,サービス業,情報通信・サービスその他,Prime
2130.T,メンバーズ,サービス業,情報通信・サービスその他,Prime
2134.T,北浜キャピタルパートナーズ,サービス業,情報通信・サービスその他,Standard
2136.T,ヒップ,サービス業,情報通信・サービスその他,Standard
2138.T,クルーズ,情報・通信業,情報通信・サービスその他,Standard
2139.T,中広,サービス業,情報通信・サービスその他,Standard
2146.T,ＵＴグループ,サービス業,情報通信・サービスその他,Prime
2148.T,アイティメディア,サービス業,情報通信・サービスその他,Prime
2150.T,ケアネット,サービス業,情報通信・サービスその他,Prime
2152.T,幼児活動研究会,サービス業,情報通信・サービスその他,Standard
2153.T,Ｅ・Ｊホールディングス,サービス業,情報通信・サービスその他,Prime
2154.T,オープンアップグループ,サービス業,情報通信・サービスその他,Prime
2156.T,セーラー広告,サービス業,情報通信・サービスその他,Standard
2157.T,コシダカホールディングス,サービス業,情報通信・サービスその他,Prime
2158.T,ＦＲＯＮＴＥＯ,サービス業,情報通信・サービスその他,Growth
215A.T,タイミー,サービス業,情報通信・サービスその他,Growth
2160.T,ジーエヌアイグループ,医薬品,医薬品,Growth
2162.T,ｎｍｓ　ホールディングス,サービス業,情報通信・サービスその他,Standard
2163.T,アルトナー,サービス業,情報通信・サービスその他,Prime
2164.T,地域新聞社,サービス業,情報通信・サービスその他,Growth
2168.T,パソナグループ,サービス業,情報通信・サービスその他,Prime
2169.T,ＣＤＳ,サービス業,情報通信・サービスその他,Standard
2170.T,リンクアンドモチベーション,サービス業,情報通信・サービスその他,Prime
2173.T,博展,サービス業,情報通信・サービスその他,Growth
2175.T,エス・エム・エス,サービス業,情報通信・サービスその他,Prime
2179.T,成学社,サービス業,情報通信・サービスその他,Standard
2180.T,サニーサイドアップグループ,サービス業,情報通信・サービスその他,Standard
2181.T,パーソルホールディングス,サービス業,情報通信・サービスその他,Prime
2183.T,リニカル,サービス業,情報通信・サービスその他,Standard
2185.T,シイエム・シイ,サービス業,情報通信・サービスその他,Standard
2186.T,ソーバル,サービス業,情報通信・サービスその他,Standard
218A.T,Ｌｉｂｅｒａｗａｒｅ,精密機器,電機・精密,Growth
2193.T,クックパッド,サービス業,情報通信・サービスその他,Standard
2195.T,アミタホールディングス,サービス業,情報通信・サービスその他,Growth
2196.T,エスクリ,サービス業,情報通信・サービスその他,Standard
2198.T,アイ・ケイ・ケイホールディングス,サービス業,情報通信・サービスその他,Prime
219A.T,Ｈｅａｒｔｓｅｅｄ,医薬品,医薬品,Growth
2201.T,森永製菓,食料品,食品,Prime
2204.T,中村屋,食料品,食品,Standard
2206.T,江崎グリコ,食料品,食品,Prime
2207.T,ｍｅｉｔｏ,食料品,食品,Prime
2208.T,ブルボン,食料品,食品,Standard
2209.T,井村屋グループ,食料品,食品,Prime
220A.T,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,情報・通信業,情報通信・サービスその他,Standard
2211.T,不二家,食料品,食品,Prime
2212.T,山崎製パン,食料品,食品,Prime
2215.T,第一屋製パン,食料品,食品,Standard
2216.T,カンロ,食料品,食品,Standard
2217.T,モロゾフ,食料品,食品,Prime
2220.T,亀田製菓,食料品,食品,Prime
2221.T,岩塚製菓,食料品,食品,Standard
2222.T,寿スピリッツ,食料品,食品,Prime
2224.T,コモ,食料品,食品,Standard
2226.T,湖池屋,食料品,食品,Standard
2229.T,カルビー,食料品,食品,Prime
2264.T,森永乳業,食料品,食品,Prime
2266.T,六甲バター,食料品,食品,Prime
2267.T,ヤクルト本社,食料品,食品,Prime
2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,食料品,食品,Standard
2269.T,明治ホールディングス,食料品,食品,Prime
2270.T,雪印メグミルク,食料品,食品,Prime
2281.T,プリマハム,食料品,食品,Prime
2282.T,日本ハム,食料品,食品,Prime
2286.T,林兼産業,食料品,食品,Standard
2288.T,丸大食品,食料品,食品,Prime
228A.T,オプロ,情報・通信業,情報通信・サービスその他,Growth
2291.T,福留ハム,食料品,食品,Standard
2292.T,Ｓ　Ｆｏｏｄｓ,食料品,食品,Prime
2293.T,滝沢ハム,食料品,食品,Standard
2294.T,柿安本店,食料品,食品,Prime
2296.T,伊藤ハム米久ホールディングス,食料品,食品,Prime
2300.T,きょくとう,サービス業,情報通信・サービスその他,Standard
2301.T,学情,サービス業,情報通信・サービスその他,Prime
2303.T,ドーン,情報・通信業,情報通信・サービスその他,Standard
2304.T,ＣＳＳホールディングス,サービス業,情報通信・サービスその他,Standard
2305.T,スタジオアリス,サービス業,情報通信・サービスその他,Standard
2307.T,クロスキャット,情報・通信業,情報通信・サービスその他,Prime
2311.T,エプコ,サービス業,情報通信・サービスその他,Standard
2315.T,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,情報・通信業,情報通信・サービスその他,Standard
2317.T,システナ,情報・通信業,情報通信・サービスその他,Prime
2321.T,ソフトフロントホールディングス,情報・通信業,情報通信・サービスその他,Growth
2323.T,ｆｏｎｆｕｎ,情報・通信業,情報通信・サービスその他,Standard
2325.T,ＮＪＳ,サービス業,情報通信・サービスその他,Prime
2326.T,デジタルアーツ,情報・通信業,情報通信・サービスその他,Prime
2327.T,日鉄ソリューションズ,情報・通信業,情報通信・サービスその他,Prime
2329.T,東北新社,情報・通信業,情報通信・サービスその他,Standard
2330.T,フォーサイド,情報・通信業,情報通信・サービスその他,Standard
2331.T,ＡＬＳＯＫ,サービス業,情報通信・サービスその他,Prime
2332.T,クエスト,情報・通信業,情報通信・サービスその他,Standard
2334.T,イオレ,サービス業,情報通信・サービスその他,Growth
2335.T,キューブシステム,情報・通信業,情報通信・サービスその他,Prime
2337.T,いちご,不動産業,不動産,Prime
2338.T,クオンタムソリューションズ,情報・通信業,情報通信・サービスその他,Standard
2340.T,極楽湯ホールディングス,サービス業,情報通信・サービスその他,Standard
2341.T,アルバイトタイムス,サービス業,情報通信・サービスその他,Standard
2342.T,トランスジェニックグループ,サービス業,情報通信・サービスその他,Growth
2344.T,平安レイサービス,サービス業,情報通信・サービスその他,Standard
2345.T,クシム,情報・通信業,情報通信・サービスその他,Standard
2349.T,エヌアイデイ,情報・通信業,情報通信・サービスその他,Standard
2351.T,ＡＳＪ,情報・通信業,情報通信・サービスその他,Growth
2353.T,日本駐車場開発,不動産業,不動産,Prime
2354.T,ＹＥ　ＤＩＧＩＴＡＬ,情報・通信業,情報通信・サービスその他,Standard
2359.T,コア,情報・通信業,情報通信・サービスその他,Prime
2370.T,メディネット,サービス業,情報通信・サービスその他,Growth
2371.T,カカクコム,サービス業,情報通信・サービスその他,Prime
2373.T,ケア２１,サービス業,情報通信・サービスその他,Standard
2374.T,セントケア・ホールディング,サービス業,情報通信・サービスその他,Prime
2375.T,ギグワークス,サービス業,情報通信・サービスその他,Standard
2376.T,サイネックス,サービス業,情報通信・サービスその他,Standard
2378.T,ルネサンス,サービス業,情報通信・サービスその他,Prime
2379.T,ディップ,サービス業,情報通信・サービスその他,Prime
2384.T,ＳＢＳホールディングス,陸運業,運輸・物流,Prime
2385.T,総医研ホールディングス,サービス業,情報通信・サービスその他,Growth
2388.T,ウェッジホールディングス,その他金融業,金融（除く銀行）,Growth
2389.T,デジタルホールディングス,サービス業,情報通信・サービスその他,Prime
2391.T,プラネット,サービス業,情報通信・サービスその他,Standard
2393.T,日本ケアサプライ,サービス業,情報通信・サービスその他,Standard
2395.T,新日本科学,サービス業,情報通信・サービスその他,Prime
2404.T,鉄人化ホールディングス,サービス業,情報通信・サービスその他,Standard
2408.T,ＫＧ情報,サービス業,情報通信・サービスその他,Standard
2410.T,キャリアデザインセンター,サービス業,情報通信・サービスその他,Prime
2411.T,ゲンダイエージェンシー,情報・通信業,情報通信・サービスその他,Standard
2413.T,エムスリー,サービス業,情報通信・サービスその他,Prime
2415.T,ヒューマンホールディングス,サービス業,情報通信・サービスその他,Standard
2418.T,ツカダ・グローバルホールディング,サービス業,情報通信・サービスその他,Standard
241A.T,ＲＯＸＸ,情報・通信業,情報通信・サービスその他,Growth
2424.T,ブラス,サービス業,情報通信・サービスその他,Standard
2425.T,ケアサービス,サービス業,情報通信・サービスその他,Standard
2428.T,ウェルネット,サービス業,情報通信・サービスその他,Standard
2429.T,ワールドホールディングス,サービス業,情報通信・サービスその他,Prime
2432.T,ディー・エヌ・エー,情報・通信業,情報通信・サービスその他,Prime
2433.T,博報堂ＤＹホールディングス,サービス業,情報通信・サービスその他,Prime
2435.T,シダー,サービス業,情報通信・サービスその他,Standard
2436.T,共同ピーアール,サービス業,情報通信・サービスその他,Standard
2437.T,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,サービス業,情報通信・サービスその他,Standard
2438.T,アスカネット,サービス業,情報通信・サービスその他,Growth
2440.T,ぐるなび,サービス業,情報通信・サービスその他,Prime
2445.T,タカミヤ,サービス業,情報通信・サービスその他,Prime
2449.T,プラップジャパン,サービス業,情報通信・サービスその他,Standard
244A.T,グロースエクスパートナーズ,情報・通信業,情報通信・サービスその他,Growth
2454.T,オールアバウト,サービス業,情報通信・サービスその他,Standard
2459.T,アウンコンサルティング,サービス業,情報通信・サービスその他,Standard
245A.T,ＩＮＧＳ,小売業,小売,Growth
2461.T,ファンコミュニケーションズ,サービス業,情報通信・サービスその他,Prime
2462.T,ライク,サービス業,情報通信・サービスその他,Prime
2464.T,Ａｏｂａ‐ＢＢＴ,サービス業,情報通信・サービスその他,Standard
2469.T,ヒビノ,サービス業,情報通信・サービスその他,Standard
246A.T,アスア,サービス業,情報通信・サービスその他,Growth
2471.T,エスプール,サービス業,情報通信・サービスその他,Prime
2475.T,ＷＤＢホールディングス,サービス業,情報通信・サービスその他,Prime
2477.T,手間いらず,情報・通信業,情報通信・サービスその他,Standard
2479.T,ジェイテック,サービス業,情報通信・サービスその他,Standard
247A.T,Ａｉロボティクス,化学,素材・化学,Growth
2480.T,システム・ロケーション,情報・通信業,情報通信・サービスその他,Standard
2481.T,タウンニュース社,サービス業,情報通信・サービスその他,Standard
2483.T,翻訳センター,サービス業,情報通信・サービスその他,Standard
2484.T,出前館,情報・通信業,情報通信・サービスその他,Standard
2485.T,ティア,サービス業,情報通信・サービスその他,Standard
2488.T,ＪＴＰ,サービス業,情報通信・サービスその他,Standard
2489.T,アドウェイズ,サービス業,情報通信・サービスその他,Prime
248A.T,キッズスター,情報・通信業,情報通信・サービスその他,Growth
2491.T,バリューコマース,サービス業,情報通信・サービスその他,Prime
2492.T,インフォマート,サービス業,情報通信・サービスその他,Prime
2493.T,イーサポートリンク,サービス業,情報通信・サービスその他,Standard
2497.T,ユナイテッド,サービス業,情報通信・サービスその他,Growth
2498.T,オリエンタルコンサルタンツホールディングス,サービス業,情報通信・サービスその他,Standard
2499.T,日本和装ホールディングス,サービス業,情報通信・サービスその他,Standard
2501.T,サッポロホールディングス,食料品,食品,Prime
2502.T,アサヒグループホールディングス,食料品,食品,Prime
2503.T,キリンホールディングス,食料品,食品,Prime
250A.T,シマダヤ,食料品,食品,Standard
2531.T,宝ホールディングス,食料品,食品,Prime
2533.T,オエノンホールディングス,食料品,食品,Prime
253A.T,ＥＴＳグループ,建設業,建設・資材,Standard
2540.T,養命酒製造,食料品,食品,Prime
254A.T,ＡＩフュージョンキャピタルグループ,証券、商品先物取引業,金融（除く銀行）,Standard
255A.T,ジーエルテクノホールディングス,精密機器,電機・精密,Standard
256A.T,飛島ホールディングス,建設業,建設・資材,Prime
2573.T,北海道コカ・コーラボトリング,食料品,食品,Standard
2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,食料品,食品,Prime
2585.T,ライフドリンク　カンパニー,食料品,食品,Prime
2586.T,フルッタフルッタ,食料品,食品,Growth
2587.T,サントリー食品インターナショナル,食料品,食品,Prime
2588.T,プレミアムウォーターホールディングス,食料品,食品,Standard
2590.T,ダイドーグループホールディングス,食料品,食品,Prime
2593.T,伊藤園,食料品,食品,Prime
25935.T,伊藤園第１種優先株式,食料品,食品,Prime
2594.T,キーコーヒー,食料品,食品,Prime
2597.T,ユニカフェ,食料品,食品,Standard
2602.T,日清オイリオグループ,食料品,食品,Prime
2607.T,不二製油,食料品,食品,Prime
2612.T,かどや製油,食料品,食品,Standard
2613.T,Ｊ－オイルミルズ,食料品,食品,Prime
261A.T,日水コン,サービス業,情報通信・サービスその他,Standard
262A.T,インターメスティック,小売業,小売,Prime
264A.T,Ｓｃｈｏｏ,サービス業,情報通信・サービスその他,Growth
2652.T,まんだらけ,小売業,小売,Standard
2653.T,イオン九州,小売業,小売,Standard
2654.T,アスモ,小売業,小売,Standard
2656.T,ベクターホールディングス,小売業,小売,Standard
2659.T,サンエー,小売業,小売,Prime
265A.T,Ｈｍｃｏｍｍ,情報・通信業,情報通信・サービスその他,Growth
2664.T,カワチ薬品,小売業,小売,Prime
2666.T,オートウェーブ,小売業,小売,Standard
2667.T,イメージ　ワン,卸売業,商社・卸売,Standard
2668.T,タビオ,卸売業,商社・卸売,Standard
2669.T,カネ美食品,小売業,小売,Standard
2670.T,エービーシー・マート,小売業,小売,Prime
2673.T,夢みつけ隊,小売業,小売,Standard
2674.T,ハードオフコーポレーション,小売業,小売,Prime
2676.T,高千穂交易,卸売業,商社・卸売,Prime
2678.T,アスクル,小売業,小売,Prime
2681.T,ゲオホールディングス,小売業,小売,Prime
2683.T,魚喜,小売業,小売,Standard
2685.T,アンドエスティＨＤ,小売業,小売,Prime
2686.T,ジーフット,小売業,小売,Standard
2687.T,シー・ヴイ・エス・ベイエリア,サービス業,情報通信・サービスその他,Standard
2689.T,オルバヘルスケアホールディングス,卸売業,商社・卸売,Standard
268A.T,リガク・ホールディングス,精密機器,電機・精密,Prime
2692.T,伊藤忠食品,卸売業,商社・卸売,Prime
2693.T,ＹＫＴ,卸売業,商社・卸売,Standard
2694.T,焼肉坂井ホールディングス,小売業,小売,Standard
2695.T,くら寿司,小売業,小売,Prime
2698.T,キャンドゥ,小売業,小売,Standard
269A.T,Ｓａｐｅｅｔ,情報・通信業,情報通信・サービスその他,Growth
2700.T,木徳神糧,卸売業,商社・卸売,Standard
2702.T,日本マクドナルドホールディングス,小売業,小売,Standard
2705.T,大戸屋ホールディングス,小売業,小売,Standard
2708.T,久世,卸売業,商社・卸売,Standard
2721.T,ジェイホールディングス,卸売業,商社・卸売,Standard
2722.T,ＩＫホールディングス,小売業,小売,Standard
2726.T,パルグループホールディングス,小売業,小売,Prime
2730.T,エディオン,小売業,小売,Prime
2733.T,あらた,卸売業,商社・卸売,Prime
2734.T,サーラコーポレーション,小売業,小売,Prime
2735.T,ワッツ,小売業,小売,Standard
2736.T,フェスタリアホールディングス,小売業,小売,Standard
2737.T,トーメンデバイス,卸売業,商社・卸売,Prime
2742.T,ハローズ,小売業,小売,Prime
2743.T,ピクセルカンパニーズ,卸売業,商社・卸売,Standard
2747.T,北雄ラッキー,小売業,小売,Standard
2749.T,ＪＰホールディングス,サービス業,情報通信・サービスその他,Prime
274A.T,ガーデン,小売業,小売,Standard
2750.T,石光商事,卸売業,商社・卸売,Standard
2751.T,テンポスホールディングス,卸売業,商社・卸売,Standard
2752.T,フジオフードグループ本社,小売業,小売,Prime
2753.T,あみやき亭,小売業,小売,Prime
